WKT,id,province_id,name,alt_name,latitude,longitude
"POINT (110.15972222222 -7.8580555555556)",3401.0,34.0,KABUPATEN KULON PROGO,KABUPATEN KULON PROGO,-7.8580555555556,110.15972222222
"POINT (110.327 -7.886)",3402.0,34.0,KABUPATEN BANTUL,KABUPATEN BANTUL,-7.886,110.327
"POINT (110.61667 -7.98333)",3403.0,34.0,KABUPATEN GUNUNG KIDUL,KABUPATEN GUNUNG KIDUL,-7.98333,110.61667
"POINT (110.32333 -7.68167)",3404.0,34.0,KABUPATEN SLEMAN,KABUPATEN SLEMAN,-7.68167,110.32333
"POINT (110.375 -7.8)",3471.0,34.0,KOTA YOGYAKARTA,KOTA YOGYAKARTA,-7.8,110.375
